t,F_meas_N,speed_mps,mode,delta_m
4.1100,5.8310,0.1500,CONTACT,0.00607
4.1200,6.0716,0.1500,CONTACT,0.00606
4.1300,6.0275,0.1500,CONTACT,0.00605
4.1400,6.6811,0.1500,CONTACT,0.00598
4.1500,6.2563,0.1500,CONTACT,0.00595
4.1600,5.8416,0.1500,CONTACT,0.00597
4.1700,6.0973,0.1500,CONTACT,0.00596
4.1800,5.8560,0.1500,CONTACT,0.00597
4.1900,5.9050,0.1500,CONTACT,0.00598
4.2000,5.8265,0.1500,CONTACT,0.00600
4.2100,6.3567,0.1500,CONTACT,0.00596
4.2200,6.4709,0.1500,CONTACT,0.00591
4.2300,5.9427,0.1500,CONTACT,0.00592
4.2400,6.1715,0.1500,CONTACT,0.00590
4.2500,5.9948,0.1500,CONTACT,0.00590
4.2600,6.1185,0.1500,CONTACT,0.00589
4.2700,5.9226,0.1500,CONTACT,0.00589
4.2800,5.6671,0.1500,CONTACT,0.00593
4.2900,5.8850,0.1500,CONTACT,0.00594
4.3000,5.9403,0.1500,CONTACT,0.00595
4.3100,6.0764,0.1500,CONTACT,0.00594
4.3200,5.8519,0.1500,CONTACT,0.00596
4.3300,6.0366,0.1500,CONTACT,0.00595
4.3400,5.9223,0.1500,CONTACT,0.00596
4.3500,5.9240,0.1500,CONTACT,0.00597
4.3600,5.8802,0.1500,CONTACT,0.00598
4.3700,6.0503,0.1500,CONTACT,0.00598
4.3800,6.2079,0.1500,CONTACT,0.00596
4.3900,5.9294,0.1500,CONTACT,0.00596
4.4000,6.2091,0.1500,CONTACT,0.00594
4.4100,6.1703,0.1500,CONTACT,0.00592
4.4200,5.9671,0.1500,CONTACT,0.00593
4.4300,6.1717,0.1500,CONTACT,0.00591
4.4400,6.1313,0.1500,CONTACT,0.00589
4.4500,5.7584,0.1500,CONTACT,0.00592
4.4600,5.7440,0.1500,CONTACT,0.00595
4.4700,5.6035,0.1500,CONTACT,0.00599
4.4800,5.7852,0.1500,CONTACT,0.00601
4.4900,5.6960,0.1500,CONTACT,0.00605
4.5000,6.0396,0.1500,CONTACT,0.00604
4.5100,6.2614,0.1500,CONTACT,0.00602
4.5200,5.8438,0.1500,CONTACT,0.00603
4.5300,6.1811,0.1500,CONTACT,0.00601
4.5400,5.6046,0.1500,CONTACT,0.00606
4.5500,5.9669,0.1500,CONTACT,0.00606
4.5600,6.1352,0.1500,CONTACT,0.00605
4.5700,6.0071,0.1500,CONTACT,0.00604
4.5800,5.9554,0.1500,CONTACT,0.00605
4.5900,5.9057,0.1500,CONTACT,0.00606
4.6000,5.8325,0.1500,CONTACT,0.00608
4.6100,5.7762,0.1500,CONTACT,0.00610
4.6200,6.2703,0.1500,CONTACT,0.00607
4.6300,6.4038,0.1500,CONTACT,0.00603
4.6400,5.6526,0.1500,CONTACT,0.00607
4.6500,5.9049,0.1500,CONTACT,0.00608
4.6600,6.1499,0.1500,CONTACT,0.00606
4.6700,5.8410,0.1500,CONTACT,0.00608
4.6800,6.0494,0.1500,CONTACT,0.00607
4.6900,6.3156,0.1500,CONTACT,0.00604
4.7000,6.4277,0.1500,CONTACT,0.00599
4.7100,5.7328,0.1500,CONTACT,0.00602
4.7200,6.0746,0.1500,CONTACT,0.00601
4.7300,6.2207,0.1500,CONTACT,0.00599
4.7400,6.1834,0.1500,CONTACT,0.00597
4.7500,5.8816,0.1500,CONTACT,0.00598
4.7600,5.7752,0.1500,CONTACT,0.00601
4.7700,5.8999,0.1500,CONTACT,0.00602
4.7800,6.0173,0.1500,CONTACT,0.00601
4.7900,6.3602,0.1500,CONTACT,0.00597
4.8000,5.8694,0.1500,CONTACT,0.00599
4.8100,5.8282,0.1500,CONTACT,0.00601
4.8200,6.2181,0.1500,CONTACT,0.00598
4.8300,5.8021,0.1500,CONTACT,0.00601
4.8400,6.2293,0.1500,CONTACT,0.00598
4.8500,6.0258,0.1500,CONTACT,0.00598
4.8600,5.7786,0.1500,CONTACT,0.00600
4.8700,5.6977,0.1500,CONTACT,0.00604
4.8800,6.0084,0.1500,CONTACT,0.00603
4.8900,6.3184,0.1500,CONTACT,0.00600
4.9000,5.8480,0.1500,CONTACT,0.00602
4.9100,6.4708,0.1500,CONTACT,0.00596
4.9200,5.8261,0.1500,CONTACT,0.00598
4.9300,6.1991,0.1500,CONTACT,0.00596
4.9400,5.9598,0.1500,CONTACT,0.00597
4.9500,6.2326,0.1500,CONTACT,0.00594
4.9600,6.2283,0.1500,CONTACT,0.00591
4.9700,5.9378,0.1500,CONTACT,0.00592
4.9800,6.4225,0.1500,CONTACT,0.00587
4.9900,5.8001,0.1500,CONTACT,0.00590
5.0000,5.6625,0.1500,CONTACT,0.00593
5.0100,6.0237,0.1500,CONTACT,0.00593
5.0200,5.8454,0.1500,CONTACT,0.00595
5.0300,5.9986,0.1500,CONTACT,0.00595
5.0400,5.8832,0.1500,CONTACT,0.00596
5.0500,6.0362,0.1500,CONTACT,0.00596
5.0600,5.9970,0.1500,CONTACT,0.00596
5.0700,5.8425,0.1500,CONTACT,0.00598
5.0800,6.1334,0.1500,CONTACT,0.00596
5.0900,5.9036,0.1500,CONTACT,0.00597
5.1000,6.1120,0.1500,CONTACT,0.00596
5.1100,5.8027,0.1500,CONTACT,0.00598
5.1200,5.6165,0.1500,CONTACT,0.00602
5.1300,6.4027,0.1500,CONTACT,0.00598
5.1400,5.8187,0.1500,CONTACT,0.00600
5.1500,6.1755,0.1500,CONTACT,0.00598
5.1600,5.9033,0.1500,CONTACT,0.00599
5.1700,5.8952,0.1500,CONTACT,0.00600
5.1800,6.1569,0.1500,CONTACT,0.00598
5.1900,5.8993,0.1500,CONTACT,0.00600
5.2000,6.0473,0.1500,CONTACT,0.00599
5.2100,6.1587,0.1500,CONTACT,0.00597
5.2200,5.7859,0.1500,CONTACT,0.00600
5.2300,6.0818,0.1500,CONTACT,0.00599
5.2400,6.1995,0.1500,CONTACT,0.00596
5.2500,6.0297,0.1500,CONTACT,0.00596
5.2600,5.7478,0.1500,CONTACT,0.00599
5.2700,5.9714,0.1500,CONTACT,0.00599
5.2800,6.0961,0.1500,CONTACT,0.00598
5.2900,5.6872,0.1500,CONTACT,0.00602
